,Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
8073,"Lundsgårdsvej 25, st.","Bolbro, 5200 Odense V",1850000.0,2021,62,2,1,Fri handel
8074,"Sdr. Boulevard 228, 3.",5000 Odense C,2500000.0,2021,156,6,2,Fri handel
8075,"Lundsgårdsvej 25, 1.","Bolbro, 5200 Odense V",1850000.0,2021,62,2,1,Fri handel
8076,Skibhusvej 383,5000 Odense C,2815000.0,2021,104,4,1,Fri handel
8077,Kvadrillevej 18,"Lumby, 5270 Odense N",1100000.0,2021,89,3,1,Fri handel
8078,Vangelystvej 5,"Sanderum, 5250 Odense SV",3275000.0,2021,144,5,2,Fri handel
8079,"Æbleparken 26, 2.","Søhus, 5270 Odense N",600000.0,2021,59,2,1,Fri handel
8080,Kolibrivænget 3,"Snestrup, 5210 Odense NV",600000.0,2021,95,4,1,Fri handel
8081,Strandvejen 41,"Seden, 5240 Odense NØ",1675000.0,2021,106,4,1,Fri handel
8082,Vibekevej 7,"Dyrup, 5250 Odense SV",3650000.0,2021,143,5,2,Fri handel
8083,"Rødegårdsvej 41, 4. th.",5000 Odense C,1450000.0,2021,61,2,1,Fri handel
8084,"Hunderupvej 61A, st. tv.",5000 Odense C,17000000.0,2021,56,3,1,Fri handel
8085,Hestehøjvej 89,"Højby, 5260 Odense S",2550000.0,2021,167,6,2,Fri handel
8086,Bekkasinvej 11,"Snestrup, 5210 Odense NV",2100000.0,2021,152,6,1,Fri handel
8087,Kartoffelhaven 25,"Bullerup, 5320 Agedrup",1235000.0,2021,230,7,2,Fri handel
8088,Skovalléen 17,"Dalum, 5250 Odense SV",6350000.0,2021,207,6,2,Fri handel
8089,Kærvej 2,"Over Holluf, 5220 Odense SØ",1900000.0,2021,110,5,1,Fri handel
8090,Søballehøjen 22,"Næsbyhoved-Broby, 5270 Odense N",3975000.0,2021,178,5,2,Fri handel
8091,Kragenæsvej 18,"Seden, 5240 Odense NØ",1300000.0,2021,143,5,1,Fri handel
8092,Kochsgade 114,5000 Odense C,3550000.0,2021,173,5,3,Fri handel
8093,Pilevangen 8,"Tarup, 5210 Odense NV",1940000.0,2021,114,3,1,Fri handel
8094,"Guldrankevej 21, st. 1.",5200 Odense V,1895000.0,2021,66,2,1,Fri handel
8095,Slagkrogen 43,5220 Odense SØ,2300000.0,2021,113,4,2,Fri handel
8096,Lindeallé 22,5230 Odense M,5950000.0,2021,167,7,2,Fri handel
8097,"Munkerisvej 8, 1. th.",5230 Odense M,1360000.0,2021,71,2,1,Fri handel
8098,Duedalen 56,5240 Odense NØ,1395000.0,2021,102,4,1,Fri handel
8099,"Christiansgade 84, 3. 28.",5000 Odense C,300000.0,2021,41,1,1,Fri handel
8100,Stigevej 299,"Stige, 5270 Odense N",1950000.0,2021,139,5,2,Fri handel
8101,"Skibhusvej 181, 2. tv.",5000 Odense C,1685000.0,2021,75,3,1,Fri handel
8102,Lærkevej 5,"Korup, 5210 Odense NV",2330000.0,2021,175,8,2,Fri handel
8103,Marienlystvej 43,5000 Odense C,2750000.0,2021,112,4,2,Fri handel
8104,H. Rasmussens Vej 6,5000 Odense C,4950000.0,2021,134,6,2,Fri handel
8105,H.P. Simonsens Allé 43,"Sanderum, 5250 Odense SV",2700000.0,2021,83,3,2,Fri handel
8106,Hødersvej 4,"Bolbro, 5200 Odense V",1422500.0,2021,181,5,2,Fri handel
8107,Groløkkevænget 57,"Søhus, 5270 Odense N",1900000.0,2021,100,4,1,Fri handel
8108,Vægtens Kvarter 241,"Holluf Pile, 5220 Odense SØ",2075000.0,2021,100,4,1,Fri handel
8109,Hjallesevej 183,5230 Odense M,3437500.0,2021,122,5,1,Fri handel
8110,"Guldrankevej 21, 2. 1.",5200 Odense V,1970000.0,2021,66,2,1,Fri handel
8111,Lahnsgade 52B,5000 Odense C,3600000.0,2021,105,3,1,Fri handel
8112,Præstegårdsvænget 39,"Tarup, 5210 Odense NV",2045000.0,2021,98,4,1,Fri handel
8113,"Østre Stationsvej 41N, 5. 2.",5000 Odense C,2550000.0,2021,89,2,1,Fri handel
8114,Tarupgårdsvej 26,"Tarup, 5210 Odense NV",2800000.0,2021,136,5,2,Fri handel
8115,H.C. Lumbyes Vej 18,"Lumby, 5270 Odense N",1250000.0,2021,202,5,2,Fri handel
8116,Krügersvej 21,5000 Odense C,6750000.0,2021,191,6,2,Fri handel
8117,Sadolinsgade 156,5230 Odense M,7350000.0,2021,160,6,2,Fri handel
8118,Valkendrupsgyden 121,"Næsbyhoved-Broby, 5270 Odense N",2425000.0,2021,140,5,2,Fri handel
8119,Dahlsvej 40,"Stenløse, 5260 Odense S",13416200.0,2021,245,8,2,Fri handel
8120,H. Rasmussens Vej 8,5000 Odense C,4630000.0,2021,137,5,1,Fri handel
8121,"Guldrankevej 1, 1. 2.",5200 Odense V,2275000.0,2021,82,2,1,Fri handel
8122,"Guldrankevej 11, 2. 1.",5200 Odense V,1970000.0,2021,66,2,1,Fri handel
8123,Grønvej 105B,"Volderslev, 5260 Odense S",19426400.0,2021,243,6,2,Fri handel
8124,Beravænget 6,"Højstrup, 5210 Odense NV",1996000.0,2021,95,4,1,Fri handel
8125,Chr. Sonnes Vej 27B,5230 Odense M,3795000.0,2021,80,3,2,Fri handel
8126,Stenløse Bygade 35,"Stenløse, 5260 Odense S",22930800.0,2021,171,4,2,Fri handel
8127,Brændekilde Væde Vej 31,"Brændekilde, 5250 Odense SV",2575000.0,2021,287,8,3,Fri handel
8128,"Skibhusvej 137, 1. th.",5000 Odense C,1465000.0,2021,70,2,1,Fri handel
8130,Elleholmvej 34,"Ravnebjerg, 5250 Odense SV",1825000.0,2021,140,6,2,Fri handel
8131,Bredbjergvej 41,5230 Odense M,2600000.0,2021,147,5,2,Fri handel
8132,Stenløse Bygade 23,"Stenløse, 5260 Odense S",3947940.0,2021,194,6,2,Fri handel
8133,Valnøddevej 71,"Stige, 5270 Odense N",2310000.0,2021,152,6,1,Fri handel
8134,Toldbodgade 12,5000 Odense C,3175000.0,2021,137,5,2,Fri handel
8135,Breidavej 25,"Paarup, 5210 Odense NV",3115025.0,2021,187,7,2,Fri handel
8136,Spangsvej 36,"Paarup, 5210 Odense NV",3551000.0,2021,186,7,2,Fri handel
8137,"Sdr. Boulevard 254, 1. tv.",5000 Odense C,1365000.0,2021,48,2,1,Fri handel
8138,Musvågevej 51,"Snestrup, 5210 Odense NV",1700000.0,2021,109,4,1,Fri handel
8139,Bøgebjergvej 36,5000 Odense C,4400000.0,2021,132,5,2,Fri handel
8140,Guldrankevej 108,5200 Odense V,2995000.0,2021,114,3,2,Fri handel
8141,Dragebakken 248,"Sanderum, 5250 Odense SV",1150000.0,2021,55,2,1,Fri handel
8142,Emmavænget 7,"Næsby, 5270 Odense N",2595000.0,2021,114,5,2,Fri handel
8143,Edvard Weies Vænge 1,5220 Odense SØ,1700000.0,2021,92,4,1,Fri handel
8144,Ågade 9,"Næsby, 5270 Odense N",1131617.0,2021,130,5,2,Fri handel
8145,Søparken 89,"Hjallese, 5260 Odense S",2910000.0,2021,178,8,3,Fri handel
8146,Rosenvænget 30,"Dalum, 5250 Odense SV",5245000.0,2021,136,4,1,Fri handel
8147,Lindvedparken 99,"Lindved, 5260 Odense S",2200000.0,2021,125,5,1,Fri handel
8148,Ryttervejen 3,"Aasum, 5240 Odense NØ",2095000.0,2021,172,7,2,Fri handel
8149,Kærnehøjvej 26,"Højby, 5260 Odense S",2150000.0,2021,137,4,1,Fri handel
8150,Billeshavevej 39B,"Korup, 5210 Odense NV",1060000.0,2021,85,4,1,Fri handel
8151,Capellavænget 20,"Paarup, 5210 Odense NV",3345000.0,2021,175,6,2,Fri handel
8152,Haugstedsgade 13,5000 Odense C,5800000.0,2021,172,7,2,Fri handel
8153,Munkemaen 142,"Anderup, 5270 Odense N",1378500.0,2021,76,3,1,Fri handel
8154,Kristiansdals Allé 154,"Dalum, 5250 Odense SV",3475000.0,2021,180,6,2,Fri handel
8155,Heltzensgade 22,5000 Odense C,2850000.0,2021,152,6,2,Fri handel
8156,Dragebakken 189,"Sanderum, 5250 Odense SV",1500000.0,2021,85,4,1,Fri handel
8157,"Middelfartvej 137, 2. th.","Bolbro, 5200 Odense V",1265000.0,2021,69,2,1,Fri handel
8158,Volderslevvej 13,"Hjallese, 5260 Odense S",2480000.0,2021,150,6,3,Fri handel
8159,"Åløkkehaven 58, 2. tv.",5000 Odense C,1350000.0,2021,65,2,1,Fri handel
8160,Flintagergårdvej 73,"Bellinge, 5250 Odense SV",944480.0,2021,170,5,2,Fri handel
8161,Højvang 169,"Næsby, 5270 Odense N",2175000.0,2021,97,5,2,Fri handel
8162,"Østre Stationsvej 41N, 4. 1.",5000 Odense C,1950000.0,2021,83,2,1,Fri handel
8163,Flittig Lise Vej 92,"Bellinge, 5250 Odense SV",2495000.0,2021,140,5,2,Fri handel
8164,"Enggade 16, 1.",5000 Odense C,2500000.0,2021,96,4,1,Fri handel
8165,Blåbærvej 168,"Hjallese, 5260 Odense S",1865000.0,2021,86,3,1,Fri handel
8166,Niels Juels Allé 62,"Sanderum, 5250 Odense SV",2995000.0,2021,220,6,2,Fri handel
8167,Sportoften 2B,"Agedrup, 5320 Agedrup",1875000.0,2021,152,5,2,Fri handel
8168,"Enggade 16, st. th.",5000 Odense C,2500000.0,2021,42,2,1,Fri handel
8169,Åbrinken 134,5220 Odense SØ,3995000.0,2021,181,5,2,Fri handel
8170,Næsbyhave 119,"Næsby, 5270 Odense N",1665000.0,2021,99,5,1,Fri handel
8171,"Enggade 16, st. tv.",5000 Odense C,2500000.0,2021,54,2,1,Fri handel
8172,Frue Kirkestræde 1,5000 Odense C,2750000.0,2021,193,5,2,Fri handel
8173,"Guldrankevej 21, 1. 3.",5200 Odense V,2275000.0,2021,82,2,1,Fri handel
8174,Brombærvej 11,"Hjallese, 5260 Odense S",1375000.0,2021,83,3,1,Fri handel
8175,Vægtens Kvarter 149,"Holluf Pile, 5220 Odense SØ",1705000.0,2021,75,3,1,Fri handel
8176,"Nyborgvej 37, 3. th.",5000 Odense C,1370000.0,2021,54,2,1,Fri handel
8177,Skt. Knuds Gade 16A,5000 Odense C,4695000.0,2021,178,6,2,Fri handel
8178,Hjertegræsvej 9,"Slukefter, 5210 Odense NV",1670000.0,2021,101,4,1,Fri handel
8179,"Buchwaldsgade 61A, 1. tv.",5000 Odense C,1475000.0,2021,55,2,1,Fri handel
8180,Dyrupgårds Allé 108,"Dyrup, 5250 Odense SV",2250000.0,2021,120,5,1,Fri handel
8181,Mariavænget 7,"Hjallese, 5260 Odense S",2900000.0,2021,111,4,1,Fri handel
8182,Rugmarken 22,"Hjallese, 5260 Odense S",2415000.0,2021,109,4,2,Fri handel
8183,Lunden 13,"Aasum, 5320 Agedrup",2900000.0,2021,138,8,1,Fri handel
8184,Næsbyhave 110,"Næsby, 5270 Odense N",1830000.0,2021,100,4,1,Fri handel
8185,Læssøegade 132,5230 Odense M,5000000.0,2021,150,8,3,Fri handel
8186,Flittig Lise Vej 20,"Bellinge, 5250 Odense SV",2765000.0,2021,163,5,2,Fri handel
8187,Ekkodalen 3,"Næsby, 5270 Odense N",2250000.0,2021,199,8,2,Fri handel
8188,Skibhusvej 435,5000 Odense C,900000.0,2021,56,3,1,Fri handel
8189,Tranehøjen 126,"Dyrup, 5250 Odense SV",1795000.0,2021,101,4,1,Fri handel
8190,Hjulets Kvarter 215,"Holluf Pile, 5220 Odense SØ",2525000.0,2021,132,4,1,Fri handel
8191,Hedelundmarken 8,"Stige, 5270 Odense N",4150000.0,2021,180,5,2,Fri handel
8192,Ugletoften 58,"Højby, 5260 Odense S",2095000.0,2021,96,4,1,Fri handel
8193,Benzons Allé 6,"Dalum, 5250 Odense SV",6925000.0,2021,187,6,2,Fri handel
8194,Brændekildevej 29,"Bellinge, 5250 Odense SV",2260000.0,2021,132,5,2,Fri handel
8195,Njalsvej 57,"Højstrup, 5210 Odense NV",1595000.0,2021,87,4,1,Fri handel
8196,Toften 9,"Fraugde, 5220 Odense SØ",2075000.0,2021,140,7,1,Fri handel
8197,Slagkrogen 71,5220 Odense SØ,2300000.0,2021,112,4,1,Fri handel
8198,"Schacksgade 24, st. th.",5000 Odense C,1575000.0,2021,64,2,1,Fri handel
8199,Kærvej 14,"Over Holluf, 5220 Odense SØ",2995000.0,2021,190,6,2,Fri handel
8200,"Chr. Sonnes Vej 11, 2. th.",5230 Odense M,1950000.0,2021,75,3,1,Fri handel
8201,Kragsbjergvej 13,5000 Odense C,3600000.0,2021,116,3,2,Fri handel
8202,Nedergade 9B,5000 Odense C,5500000.0,2021,200,7,2,Fri handel
8203,Ellekærsvej 13,"Dalum, 5250 Odense SV",1566000.0,2021,150,5,1,Fri handel
8204,Hyldegårdsvej 19,"Seden, 5240 Odense NØ",2505000.0,2021,120,4,2,Fri handel
8205,"Fengersvej 31, 1.",5230 Odense M,2247500.0,2021,95,3,1,Fri handel
8206,Lærkedals Allé 46,"Dalum, 5250 Odense SV",3285000.0,2021,148,5,1,Fri handel
8207,"Thomas B. Thriges Gade 83, 4. 2.",5000 Odense C,900000.0,2021,72,3,1,Fri handel
8208,Rensdyrløkken 21,"Slukefter, 5210 Odense NV",2250000.0,2021,113,4,1,Fri handel
8209,Østparken 67,"Fraugde, 5220 Odense SØ",1395000.0,2021,85,3,1,Fri handel
8210,Dronning Louises Vej 19,5000 Odense C,2600000.0,2021,93,4,2,Fri handel
8211,Valkendrupsgyden 109,"Næsbyhoved-Broby, 5270 Odense N",1970000.0,2021,145,4,2,Fri handel
8212,Østparken 34,"Fraugde, 5220 Odense SØ",2495000.0,2021,126,4,3,Fri handel
8213,"Skt. Jørgens Gade 96, 2.",5000 Odense C,1695000.0,2021,65,2,1,Fri handel
8214,Edvard Weies Vænge 12,5220 Odense SØ,2010000.0,2021,92,4,1,Fri handel
8215,Ankergade 10,5000 Odense C,1495000.0,2021,68,3,1,Fri handel
8216,Rullekrovej 23,"Søhus, 5270 Odense N",1805000.0,2021,111,3,1,Fri handel
8217,Ved Vejgården 28,"Kirkendrup, 5270 Odense N",1550000.0,2021,94,3,1,Fri handel
8218,Grønnevangen 7,"Snestrup, 5210 Odense NV",1875000.0,2021,110,4,1,Fri handel
8219,Bøllemosegyden 10,"Ravnebjerg, 5491 Blommenslyst",1165000.0,2021,104,4,2,Fri handel
8220,"Æbleparken 144, 1.","Søhus, 5270 Odense N",895000.0,2021,61,2,1,Fri handel
8221,Strandholtvej 4,"Stige, 5270 Odense N",2135000.0,2021,146,4,2,Fri handel
8222,Søparken 99,"Hjallese, 5260 Odense S",1795000.0,2021,116,4,2,Fri handel
8223,Hjertegræsvej 21,"Slukefter, 5210 Odense NV",1950000.0,2021,145,5,2,Fri handel
8224,"Vesterbro 44, 2. tv.",5000 Odense C,2550000.0,2021,111,3,1,Fri handel
8225,Østbirkvej 19,"Seden, 5240 Odense NØ",1350000.0,2021,210,7,2,Fri handel
8226,Thune Nielsens Vej 20,"Næsby, 5270 Odense N",3100000.0,2021,130,5,2,Fri handel
8227,Kartoffelhaven 23,"Bullerup, 5320 Agedrup",1216000.0,2021,171,5,2,Fri handel
8228,Slettensvej 123,"Søhus, 5270 Odense N",1245000.0,2021,110,4,2,Fri handel
8229,Snedronningen 22,"Seden, 5240 Odense NØ",3550000.0,2021,140,3,2,Fri handel
8230,"Allégade 82, 1.",5000 Odense C,5300000.0,2021,138,5,2,Fri handel
8231,Prins Haralds Allé 83,"Sanderum, 5250 Odense SV",3500000.0,2021,193,6,2,Fri handel
8232,Pederstrupvej 12,"Slukefter, 5210 Odense NV",1215000.0,2021,126,4,1,Fri handel
8233,"Allégade 82, st.",5000 Odense C,5300000.0,2021,78,3,1,Fri handel
8234,"Skt. Hans Gade 91, 1.",5000 Odense C,1275000.0,2021,64,3,1,Fri handel
8235,Kroggårdvej 65,"Næsby, 5270 Odense N",2580000.0,2021,148,4,2,Fri handel
8236,Kroggårdvej 26,"Næsby, 5270 Odense N",2610000.0,2021,176,8,2,Fri handel
8237,Mosegårdsvej 51,5000 Odense C,3550000.0,2021,132,3,2,Fri handel
8238,"Reventlowsvej 54, 1. tv.",5000 Odense C,2000000.0,2021,81,3,1,Fri handel
8239,"Østre Stationsvej 39A, st. 3.",5000 Odense C,1530000.0,2021,55,2,1,Fri handel
8240,Tranehøjen 58,"Dyrup, 5250 Odense SV",4650000.0,2021,232,9,2,Fri handel
8241,Munkebjergvej 110,5230 Odense M,2400000.0,2021,141,4,2,Fri handel
8242,Guldrankevej 82,5200 Odense V,2995000.0,2021,114,3,2,Fri handel
8243,Guldrankevej 84,5200 Odense V,2995000.0,2021,114,3,2,Fri handel
8244,Guldrankevej 86,5200 Odense V,2995000.0,2021,114,3,2,Fri handel
8245,Olaf Ryes Gade 2C,5000 Odense C,5950000.0,2021,98,6,2,Fri handel
8246,Kastanievej 28,5230 Odense M,5600000.0,2021,142,4,3,Fri handel
8247,Hyldemor 9,"Næsby, 5270 Odense N",2335000.0,2021,118,4,2,Fri handel
8248,Guldsmedevænget 19,"Hjallese, 5260 Odense S",1795000.0,2021,85,3,1,Fri handel
8249,Tranehøjen 370,"Dyrup, 5250 Odense SV",2250000.0,2021,110,4,1,Fri handel
8250,Pilegården 56,"Seden, 5240 Odense NØ",2825000.0,2021,151,6,2,Fri handel
8251,Saxovej 170,"Højstrup, 5210 Odense NV",1160000.0,2021,78,4,1,Fri handel
8252,"Æbleparken 19, 1.","Søhus, 5270 Odense N",670000.0,2021,59,2,1,Fri handel
8253,Brolandvej 25,"Agedrup, 5320 Agedrup",2700000.0,2021,145,4,1,Fri handel
8254,Gelskovvænget 10,5230 Odense M,1905000.0,2021,113,3,1,Fri handel
8255,Krudthusgade 12,5000 Odense C,4300000.0,2021,134,1,2,Fri handel
8256,Flaskehalsen 40,"Seden, 5240 Odense NØ",2200000.0,2021,224,7,4,Fri handel
8257,Solskinshøjen 35,"Sanderum, 5250 Odense SV",2295000.0,2021,100,4,2,Fri handel
8258,Højvænget 1,5230 Odense M,5745000.0,2021,130,5,1,Fri handel
8259,Cypresvænget 9,"Stige, 5270 Odense N",2695000.0,2021,172,5,2,Fri handel
8260,Tolderlundsvej 85,5000 Odense C,2650000.0,2021,171,1,2,Fri handel
8261,Herluf Trolles Vej 367,5220 Odense SØ,2600000.0,2021,125,5,2,Fri handel
8262,Ørbækvej 817,"Davinde, 5220 Odense SØ",1695000.0,2021,173,6,2,Fri handel
8263,Rubinvej 2,"Tarup, 5210 Odense NV",2160000.0,2021,128,4,1,Fri handel
8264,Skt. Hans Gade 25,5000 Odense C,2215000.0,2021,92,5,2,Fri handel
8265,Ryleholmen 21,"Seden, 5240 Odense NØ",3470000.0,2021,174,6,2,Fri handel
8266,"Englandsgade 16, 1. tv.",5000 Odense C,4750000.0,2021,132,3,2,Fri handel
8267,"Rødegårdsvej 35, 2. 16.",5000 Odense C,830000.0,2021,36,1,1,Fri handel
8268,Roers Allé 12,"Tarup, 5210 Odense NV",2195000.0,2021,113,5,2,Fri handel
8269,Hostrupsvej 4,5230 Odense M,5695000.0,2021,163,6,2,Fri handel
8270,"Christmas Møllers Vej 1, st. 1.","Bolbro, 5200 Odense V",1335000.0,2021,79,4,1,Fri handel
8271,Bakkevej 10,"Tarup, 5210 Odense NV",2555000.0,2021,111,4,1,Fri handel
8272,Egevej 12,"Ejlstrup, 5200 Odense V",2295000.0,2021,130,4,3,Fri handel
8273,"Malmøgade 10, st. th.",5000 Odense C,1550000.0,2021,69,2,1,Fri handel
8274,Tranehøjen 186,"Dyrup, 5250 Odense SV",1845000.0,2021,101,4,1,Fri handel
8275,Åsumvej 253,5240 Odense NØ,1800000.0,2021,128,4,1,Fri handel
8276,Kartoffelhaven 19,"Bullerup, 5320 Agedrup",1000000.0,2021,163,5,2,Fri handel
8277,Guldrankevej 106,5200 Odense V,2995000.0,2021,114,3,2,Fri handel
8278,Tarupvej 1,"Tarup, 5210 Odense NV",3245000.0,2021,112,4,2,Fri handel
8279,"Holmehusvej 65, 1. tv.",5000 Odense C,1675000.0,2021,67,2,1,Fri handel
8280,Mølleløkken 2,"Næsby, 5270 Odense N",2165000.0,2021,132,5,2,Fri handel
8281,"Guldrankevej 21, 2. 3.",5200 Odense V,2111250.0,2021,82,2,1,Fri handel
8282,Morelvej 191,"Sanderum, 5250 Odense SV",1525000.0,2021,74,2,1,Fri handel
8283,Åsumvej 511,5240 Odense NØ,1315000.0,2021,75,3,1,Fri handel
8284,Ediths Allé 6,"Dyrup, 5250 Odense SV",5495000.0,2021,199,5,2,Fri handel
8285,Victoriagade 12,5000 Odense C,4500000.0,2021,145,6,2,Fri handel
8286,Fredens Allé 13,"Dalum, 5250 Odense SV",4250000.0,2021,126,4,1,Fri handel
8287,Svenstrupvej 29C,"Skt Klemens, 5260 Odense S",1325000.0,2021,132,5,2,Fri handel
8288,Fuglebakken 234,"Snestrup, 5210 Odense NV",985500.0,2021,138,4,2,Fri handel
8289,Prins Olufs Vænge 1,"Dalum, 5250 Odense SV",4600000.0,2021,162,5,2,Fri handel
8290,Lindved Møllevej 25,"Lindved, 5260 Odense S",2385000.0,2021,100,3,2,Fri handel
8291,Ny Vestergade 6B,5000 Odense C,3800000.0,2021,99,2,2,Fri handel
8292,Ildfuglevænget 82,"Hjallese, 5260 Odense S",1950000.0,2021,106,3,2,Fri handel
8293,Grævlingløkken 12,"Korup, 5210 Odense NV",2275000.0,2021,181,4,2,Fri handel
8294,Allingtonvænget 16,"Søhus, 5270 Odense N",347106.0,2021,55,2,1,Fri handel
8295,Volderslev Bygade 1,"Volderslev, 5260 Odense S",1775000.0,2021,204,7,1,Fri handel
8296,Fuglebakken 178,"Snestrup, 5210 Odense NV",1890000.0,2021,140,6,2,Fri handel
8297,Mosevænget 19,"Stige, 5270 Odense N",3850000.0,2021,167,4,2,Fri handel
8298,"Heliosvænget 40, 2. 4.","Dalum, 5250 Odense SV",1240000.0,2021,80,2,1,Fri handel
8299,Buen 37,"Bullerup, 5320 Agedrup",2045000.0,2021,136,4,2,Fri handel
8300,"Thujavej 52, st. 4.","Dyrup, 5250 Odense SV",550000.0,2021,58,2,2,Fri handel
8301,"Promenadebyen 30, 5. 3.",5000 Odense C,2250000.0,2021,62,2,1,Fri handel
8302,Skrænten 43,"Næsby, 5270 Odense N",1426000.0,2021,79,3,1,Fri handel
8303,Ediths Allé 18,"Dyrup, 5250 Odense SV",9175000.0,2021,265,3,2,Fri handel
8304,Langelinie 100B,5230 Odense M,7800000.0,2021,215,6,2,Fri handel
8305,Rosenholmvænget 9,"Søhus, 5270 Odense N",1730000.0,2021,105,4,1,Fri handel
8306,Granvej 9,"Dyrup, 5250 Odense SV",2300000.0,2021,208,8,2,Fri handel
8307,Anderupvænget 59,"Anderup, 5270 Odense N",2425000.0,2021,190,7,2,Fri handel
8308,Lundsvænget 6,"Næsby, 5270 Odense N",3500000.0,2021,153,5,2,Fri handel
8309,Carlsen-Skiødts Vej 68,5220 Odense SØ,1562500.0,2021,100,4,1,Fri handel
8310,Lundekærsvej 27,"Bellinge, 5250 Odense SV",2705000.0,2021,170,4,2,Fri handel
8311,"Krudthusgade 21, st.",5000 Odense C,1250000.0,2021,57,2,1,Fri handel
8312,Gartnerlunden 30,"Anderup, 5270 Odense N",3595000.0,2021,160,5,2,Fri handel
8313,"Heliosvænget 36, 1. 4.","Dalum, 5250 Odense SV",1400000.0,2021,113,4,2,Fri handel
8314,Windelsvej 14,5000 Odense C,2995000.0,2021,122,5,2,Fri handel
8315,"Middelfartvej 54, 3. th.","Bolbro, 5200 Odense V",1555000.0,2021,85,4,1,Fri handel
8316,"Holmehusvej 34, st. th.",5000 Odense C,1545000.0,2021,62,2,1,Fri handel
8317,Saxovænget 11,"Højstrup, 5210 Odense NV",780774.0,2021,155,4,2,Fri handel
8318,Hybenvej 16,"Hjallese, 5260 Odense S",1695000.0,2021,85,3,1,Fri handel
8319,Kildebakken 16,"Skt Klemens, 5260 Odense S",2395000.0,2021,120,5,1,Fri handel
8320,Kancellivej 18,"Bolbro, 5200 Odense V",865000.0,2021,160,5,2,Fri handel
8321,Hestehøjvej 77,"Højby, 5260 Odense S",2395000.0,2021,157,6,1,Fri handel
8322,Kartoffelhaven 15,"Bullerup, 5320 Agedrup",1048000.0,2021,170,5,2,Fri handel
8323,Lunden 18,"Bullerup, 5320 Agedrup",1995000.0,2021,105,5,1,Fri handel
8324,Hjejlebakken 168,"Snestrup, 5210 Odense NV",1780000.0,2021,105,5,2,Fri handel
8325,"Kongensgade 69E, 3. th.",5000 Odense C,4300000.0,2021,149,4,1,Fri handel
8326,Lotusvej 48,"Sanderum, 5250 Odense SV",900000.0,2021,57,2,1,Fri handel
8327,"Buchwaldsgade 61A, 1. th.",5000 Odense C,1407000.0,2021,57,2,1,Fri handel
8328,Næsbyhave 59,"Næsby, 5270 Odense N",1050000.0,2021,82,2,1,Fri handel
8329,Borsvinget 21D,"Bullerup, 5320 Agedrup",1445000.0,2021,101,4,2,Fri handel
8330,Rulkedalen 6,"Stenløse, 5260 Odense S",2799000.0,2021,130,4,2,Fri handel
8331,Markhaven 11,"Bullerup, 5320 Agedrup",2595000.0,2021,145,3,2,Fri handel
8332,Dorrits Allé 10,"Dyrup, 5250 Odense SV",3250000.0,2021,130,5,2,Fri handel
8333,Duedalen 3B,5240 Odense NØ,2450000.0,2021,154,4,2,Fri handel
8334,Rådyrløkken 105,"Slukefter, 5210 Odense NV",2095000.0,2021,110,4,1,Fri handel
8335,Præstevej 54,"Korup, 5210 Odense NV",2407500.0,2021,133,4,2,Fri handel
8336,Kalørvej 80,"Ejlstrup, 5200 Odense V",1070000.0,2021,150,3,1,Fri handel
8337,Skovduevænget 17,"Snestrup, 5210 Odense NV",2775000.0,2021,138,4,1,Fri handel
8338,Hindbærvej 9,"Hjallese, 5260 Odense S",2495000.0,2021,104,4,1,Fri handel
8339,Sanderumvej 153A,"Sanderum, 5250 Odense SV",5500000.0,2021,296,7,2,Fri handel
8340,"Østerbæksvej 18, 1. tv.",5230 Odense M,2215000.0,2021,81,3,2,Fri handel
8341,Skrænten 35,"Næsby, 5270 Odense N",1195000.0,2021,79,3,1,Fri handel
8342,Langelinie 49,5230 Odense M,15150000.0,2021,289,9,2,Fri handel
8343,Slørhatten 3,"Tornbjerg, 5220 Odense SØ",2200000.0,2021,115,4,1,Fri handel
8344,Broby Kirkevej 7,"Næsbyhoved-Broby, 5270 Odense N",1450000.0,2021,129,4,1,Fri handel
8345,Rørhatten 36,"Tornbjerg, 5220 Odense SØ",3750000.0,2021,161,6,2,Fri handel
8346,Kragemosen 39,"Sanderum, 5250 Odense SV",2995000.0,2021,116,4,1,Fri handel
8347,Fuglebakken 18,"Snestrup, 5210 Odense NV",1935000.0,2021,104,3,1,Fri handel
8348,"Kronprinsensgade 1A, 1. mf.",5000 Odense C,5395000.0,2021,125,3,2,Fri handel
8349,Nordskovvej 9,5230 Odense M,3300000.0,2021,111,4,2,Fri handel
8350,Guldrankevej 100,5200 Odense V,2995000.0,2021,114,3,2,Fri handel
8351,Rugmarken 44,"Hjallese, 5260 Odense S",2550000.0,2021,109,4,2,Fri handel
8352,"Munkebjergvej 48, st.",5000 Odense C,2995000.0,2021,100,3,2,Fri handel
8353,Ejby Kirkevej 52,5220 Odense SØ,2445000.0,2021,127,3,2,Fri handel
8354,Thor Langes Vej 10,5230 Odense M,6237500.0,2021,183,7,2,Fri handel
8355,"Munkebjergvej 48, 1.",5000 Odense C,2995000.0,2021,90,3,1,Fri handel
8356,"Hverringevej 1, st. 9.",5230 Odense M,1500000.0,2021,48,2,1,Fri handel
8357,Flintagergårdvej 71,"Bellinge, 5250 Odense SV",961490.0,2021,174,4,2,Fri handel
